FE7CAE04.BBS,1. 4/4 kick halfs
29BFA077.BBS,2. 4/4 kick qtrs
06BEE5B2.BBS,3. 2/4 kick halfs
895A7FAA.BBS,4. 2/4 kick qtrs
9BB104C4.BBS,5. 3/4 kick halfs
54CCA62F.BBS,6. 3/4 kick qtrs
F42979F2.BBS,7. 5/4 kick qtrs
DF12417B.BBS,8. 5/4 kick (2-3)
7EB5175F.BBS,9. 5/4 kick (3-2)
49E3153C.BBS,10. 6/4 kick qtrs
9F030A3D.BBS,11. 6/4 kick (4-2)
9475CCB9.BBS,12. 7/4 kick qtrs
02050B50.BBS,13. 7/4 kick (2-2-3)
C9817474.BBS,14. 7/4 kick (3-4)
1B17DA0A.BBS,15. 7/4 kick (4-3)
A69AB899.BBS,16. 9/4 kick (3-2-4)
557948C2.BBS,17. 9/4 kick (4-3-2)
86D6280C.BBS,18. 9/4 kick (4-5)
27717E28.BBS,19. 9/4 kick (5-4)
3C68E705.BBS,20. 5/8 kick (2-3 acc only)
2070E140.BBS,21. 5/8 kick (3-2 acc only)
A21E0E8B.BBS,22. 6/8 kick (acc 1)
971B07BD.BBS,23. 6/8 kick (3-3 acc only)
BFA66797.BBS,24. 7/8 kick (2-2-3 acc only)
C7D363BF.BBS,25. 7/8 kick (3-2-2 acc only)
F8769886.BBS,26. 9/8 kick (2-2-3 acc only)
80039CAE.BBS,27. 9/8 kick (3-2-2 acc only)
B8197132.BBS,28. 10/8 kick (3-3-4 acc only)
0A236BAB.BBS,29. 10/8 kick (4-3-3 acc only)
BCC609CF.BBS,30. 11/8 kick (2-2-2-2-3 acc only)
AAAA5657.BBS,31. 11/8 kick (3-2-2-2-2 acc only)
A94C48A2.BBS,32. 11/8 kick (3-3-3-2 acc only)
