66E3BC7A.BBS,1. 4/4 click halfs
648D6235.BBS,2. 4/4 click qtrs
32BC8F59.BBS,3. 4/4 click 8ths
44196888.BBS,4. 2/4 click halfs
9C4F2983.BBS,5. 2/4 click qtrs
CA7EC4EF.BBS,6. 2/4 click 8ths
FDE2B360.BBS,7. 3/4 click halfs
0140C8F5.BBS,8. 3/4 click qtrs
57712599.BBS,9. 3/4 click 8ths
F9828343.BBS,10. 5/4 click qtrs
6379699B.BBS,11. 5/4 click (2-3)
C2DE3FBF.BBS,12. 5/4 click (3-2)
85E3A698.BBS,13. 6/4 click qtrs
4E746D7F.BBS,14. 6/4 click (4-2)
18EC47EE.BBS,15. 7/4 click qtrs
3A525989.BBS,16. 7/4 click (2-2-3)
3C0229A8.BBS,17. 7/4 click (3-4)
EE9487D6.BBS,18. 7/4 click (4-3)
FF6BE47D.BBS,19. 9/4 click (3-2-4)
0C881426.BBS,20. 9/4 click (4-3-2)
55BD3825.BBS,21. 9/4 click (4-5)
F41A6E01.BBS,22. 9/4 click (5-4)
F9C3D060.BBS,23. 5/8 click (2-3)
1A9D6CD1.BBS,24. 5/8 click (2-3 acc only)
58648644.BBS,25. 5/8 click (3-2)
06856A94.BBS,26. 5/8 click (3-2 acc only)
DC873E49.BBS,27. 6/8 click (acc 1)
5002DD7C.BBS,28. 6/8 click (3-3)
9F151C7C.BBS,29. 6/8 click (3-3 acc only)
7FA7F06D.BBS,30. 7/8 click (2-2-3)
A5B476E3.BBS,31. 7/8 click (2-2-3 acc only)
ADE01289.BBS,32. 7/8 click (3-2-2)
DDC172CB.BBS,33. 7/8 click (3-2-2 acc only)
B126AEDD.BBS,34. 9/8 click (2-2-2-3)
A8FFC908.BBS,35. 9/8 click (2-2-2-3 acc only)
64979F02.BBS,36. 9/8 click (3-2-2-2)
EED7DD8B.BBS,37. 9/8 click (3-2-2-2 acc only)
51D7C218.BBS,38. 10/8 click (3-3-4)
09A61014.BBS,39. 10/8 click (3-3-4 acc only)
03936467.BBS,40. 10/8 click (4-3-3)
BB9C0A8D.BBS,41. 10/8 click (4-3-3 acc only)
B7D265DE.BBS,42. 11/8 click (2-2-2-2-3)
F0D6537B.BBS,43. 11/8 click (2-2-2-2-3 acc only)
410B3FA1.BBS,44. 11/8 click (3-2-2-2-2)
E6BA0CE3.BBS,45. 11/8 click (3-2-2-2-2 acc only)
5456A4CD.BBS,46. 11/8 click (3-3-3-2)
3F1ECDAB.BBS,47. 11/8 click (3-3-3-2 acc only)
