06C0A4DF.BBS,1. Cajon1-Bossa Nova
663184C8.BBS,2. Cajon2- Pop Rock basic
F857B95E.BBS,3. Cajon3- 1/2 time Rock
F837C15E.BBS,4. Cajon4- 16ths Pop feel
DCCC510B.BBS,5. Cajon5- Reggae straight basic
BE4EE0D3.BBS,6. Cajon6- Reggae swung basic
EDEC68D9.BBS,7. Cajon7- Shuffle basic
2A1474AD.BBS,8. Cajon8- Shuffle Funk
0E367580.BBS,9. Cajon9- 6/8 simple
44FFEE4F.BBS,10. Cajon10- 7-8 simple
17AC957F.BBS,11. Cajon11- swing no fills
48F619F5.BBS,12. Cajon12- Rockabilly train straight
6E05233B.BBS,13. Cajon14- Rockabilly swung train
5C8674A5.BBS,14. Cajon14- Waltz simple
