385AA1B1.BBS,1. Country #1 str
7FFADB61.BBS,2. Country #2 str
429AF2D1.BBS,3. Country #3 str
1E42397A.BBS,4. Country #4 shuffle
09392D39.BBS,5. Country #5 shuffle
30B411FC.BBS,6. Country #6 shuffle
D7DCBDD1.BBS,7. Country #7 shuffle brushes
115E8E04.BBS,8. Country #8 shuffle brushes
81C474FD.BBS,9. Country #9 train brushes
4902697C.BBS,10. Country #10 train brushes
8854684C.BBS,11. Country #11 clave brushes
A674F0A7.BBS,12. Country #12 train beat
3DD1BCC8.BBS,13. Country #13 train beat
ADB2ADBC.BBS,14. Country #14 snare clave beat
F2FA2F9B.BBS,15. Country #15 str
B55A554B.BBS,16. Country #16 str
905E3463.BBS,17. Country #17 waltz
6616448A.BBS,18. Country #18 waltz
C0614F3E.BBS,19. Country #19 waltz
4E6EDA6E.BBS,20. Country #20 waltz brushes
F7950186.BBS,21. Country #21 waltz brushes
2B46C37E.BBS,22. Country #22 6/8 str
3C3DD73D.BBS,23. Country #23 6/8 str
585CBAF4.BBS,24. Country #24 6/8 str
4F27AEB7.BBS,25. Country #25 6/8 str
76AA9272.BBS,26. Country #26 6/8 str
61D18631.BBS,27. Country #27 6/8 str
BE6849E0.BBS,28. Country #28 6/8 str
A9135DA3.BBS,29. Country #29 6/8 str
093CDEFE.BBS,30. Country #30 6/8 str brushes
8E9A15BD.BBS,31. Country #31 6/8 str brushes
DD004E39.BBS,32. Country #32 6/8 str brushes
5AA6857A.BBS,33. Country #33 6/8 str brushes
2544E79A.BBS,34. Country #34 stretched shuffle 16ths
80CF7794.BBS,35. Country #35 stretched shuffle 16ths
B522C1C7.BBS,36. Country #36 stretched shuffle 16ths
10A951C9.BBS,37. Country #37 stretched shuffle 16ths
9E43F8F5.BBS,38. Country #38 brushes stretched shuffle 16ths
A8B16806.BBS,39. Country #39 brushes stretched shuffle 16ths
0D29CEAE.BBS,40. Country #40 brushes stretched shuffle 16ths
3BDB5E5D.BBS,41. Country #41 brushes stretched shuffle 16ths
5685F6FA.BBS,42. Country #42 str 16ths Americana
C95F7564.BBS,43. Country #43 str 16ths Americana
81BFE826.BBS,44. Country #44 brsh str 16ths Americana
66A24EB1.BBS,45. Country #45 brsh str 16ths Americana
5C66EDEB.BBS,46. Country #46 sw 16ths Americana
3901D6AD.BBS,47. Country #47 sw 16ths Americana
459EA68C.BBS,48. Country #48 sw 16ths Americana
EF37EE01.BBS,49. Country #49 6/8 swung Americana
42370029.BBS,50. Country #50 6/8 swung Americana
DDED83B7.BBS,51. Country #51 6/8 swung Americana
A6F30154.BBS,52. Country #52 6/8 swung Americana
392982CA.BBS,53. Country #53 6/8 swung Americana
50CE0492.BBS,54. Country #54 6/8 swung Americana
CF14870C.BBS,55. Country #55 6/8 swung Americana
B40A05EF.BBS,56. Country #56 6/8 swung Americana
57557390.BBS,57. Country #57 6/8 brsh swung Americana
DABF250A.BBS,58. Country #58 6/8 brsh swung Americana
3DA2839D.BBS,59. Country #59 6/8 brsh swung Americana
3C022575.BBS,60. Country #60 6/8 brsh swung Americana
6E14C741.BBS,61. Country #61 shuffle folk
95F63A26.BBS,62. Country #62 brsh shuffle folk
47900669.BBS,63. Country #63 fast folk
41936357.BBS,64. Country #64 rockabilly swing
D2C43CFA.BBS,65. Country #65 rockabilly bounce shuffle
