F1912FAC.BBS,1. After Midnight- Eric Clapton
B1DFAC52.BBS,2. Bad Love- Eric Clapton
F6EA9E6A.BBS,3. Badge- Eric Clapton
10E0033B.BBS,4. Change The World- Eric Clapton
8F218620.BBS,5. Cocaine- Eric Clapton
20CC8571.BBS,6. Crossroads- Eric Clapton
86F959C1.BBS,7. I Can't Stand It- Eric Clapton
88F1270D.BBS,8. I Looked Away- Eric Clapton
FEED3304.BBS,9. I Shot The Sheriff- Eric Clapton
B7DFFC4D.BBS,10. Layla- Eric Clapton
3AF86654.BBS,11. Lay Down Sally- Eric Clapton
4F495BD1.BBS,12. Pretending- Eric Clapton
74A62000.BBS,13. Sunshine Of Your Love- Eric Clapton
1EF66CF2.BBS,14. Tears In Heaven- Eric Clapton
BD5136B9.BBS,15. White Room- Eric Clapton
7041B702.BBS,16. Wonderful Tonight- Eric Clapton
