1FA4FC5F.BBS,1. Metal 1 backbeat
F493475C.BBS,2. Metal 2 backbeat
1B512C62.BBS,3. Metal 3 backbeat
AAAAB555.BBS,4. Metal 4  backbeat
164F5C25.BBS,5. Metal 5 backbeat
FD78E726.BBS,6. Metal 6 backbeat
12BA8C18.BBS,7. Metal 7 backbeat
E3B1D795.BBS,8. Metal 8 backbeat
0C73BCAB.BBS,9. Metal 9 backbeat
FC5398FF.BBS,10. Metal 10 backbeat
1391F3C1.BBS,11. Metal 11 backbeat
F8A648C2.BBS,12. Metal 12 backbeat
176423FC.BBS,13. Metal 13 backbeat
F5B83885.BBS,14. Metal 14 backbeat
1A7A53BB.BBS,15. Metal 15 backbeat
F14DE8B8.BBS,16. Metal 16 backbeat
69E481A1.BBS,17. Metal 17 syncopated
1B701ED0.BBS,18. Metal 18 syncopated
80D552BF.BBS,19. Metal 19 syncopated
A0B604E0.BBS,20. Metal 20 syncopated
3B13488F.BBS,21. Metal 21 syncopated
C74FF02A.BBS,22. Metal 22 jungle
0BE5F0B4.BBS,23. Metal 23 jungle
0120F9AD.BBS,24. Metal 24 jungle
CD8AF933.BBS,25. Metal 25 jungle
488291C1.BBS,26. Metal 26 blast
EEF59A75.BBS,27. Metal 27 blast
18BDEA9C.BBS,28. Metal 28 blast
BECAE128.BBS,29. Metal 29 blast
E7F8A465.BBS,30. Metal 30 blast
418FAFD1.BBS,31. Metal 31 blast
7067B54C.BBS,32. Metal 32 blast
D610BEF8.BBS,33. Metal 33 blast
13B78076.BBS,34. Metal 34 blast
B5C08BC2.BBS,35. Metal 35 blast
64ECD1C8.BBS,36. Metal 36 blast backward
CA844059.BBS,37. Metal 37 blast backward
446E2763.BBS,38. Metal 38 blast backward
EA06B6F2.BBS,39. Metal 39 blast backward
17EFC467.BBS,40. Metal 40 blast backward
B98755F6.BBS,41. Metal 41 blast backward
904FE104.BBS,42. Metal 42 blast backward
3E277095.BBS,43. Metal 43 blast backward
70FF8FB0.BBS,44. Metal 44 fast
BBA35C15.BBS,45. Metal 45 fast
3D372EBB.BBS,46. Metal 46 fast
F66BFD1E.BBS,47. Metal 47 fast
073D4FCB.BBS,48. Metal 48 fast
CC619C6E.BBS,49. Metal 49 fast
4D19C612.BBS,50. Metal 50 fast
E77B4D6F.BBS,51. Metal 51 fast syncopated
B4E116EB.BBS,52. Metal 52 fast syncopated
3347DDA8.BBS,53. Metal 53 fast syncopated
13D5A1E3.BBS,54. Metal 54 fast syncopated
94736AA0.BBS,55. Metal 55 fast syncopated
C7E93124.BBS,56. Metal 56 fast syncopated
404FFA67.BBS,57. Metal 57 fast syncopated
86CDC9B2.BBS,58. Metal 58 fast syncopated
B2EDDF90.BBS,59. Metal 59 half x
942FF87E.BBS,60. Metal 60 half x
5885F8E0.BBS,61. Metal 61 half x
D60AFF03.BBS,62. Metal 62 half x
1AA0FF9D.BBS,63. Metal 63 half x
1065F684.BBS,64. Metal 64 half x
DCCFF61A.BBS,65. Metal 65 half x
5240F1F9.BBS,66. Metal 66 half x
490D2E78.BBS,67. Metal 67 shuffle
96B4E1A9.BBS,68. Metal 68 shuffle
81CFF5EA.BBS,69. Metal 69 shuffle
C2AE288F.BBS,70. Metal 70 shuffle
D5D53CCC.BBS,71. Metal 71 shuffle
EC580009.BBS,72. Metal 72 shuffle
FB23144A.BBS,73. Metal 73 shuffle
9F427983.BBS,74. Metal 74 shuffle
88396DC0.BBS,75. Metal 75 shuffle
DAC658B8.BBS,76. Metal 76 half x shuffle
74AEC929.BBS,77. Metal 77 half x shuffle
FA44AE13.BBS,78. Metal 78 half x shuffle
542C3F82.BBS,79. Metal 79 half x shuffle
4FD50289.BBS,80. Metal 80 half x shuffle
E1BD9318.BBS,81. Metal 81 half x shuffle
C87527EA.BBS,82. Metal 82 half x shuffle
661DB67B.BBS,83. Metal 83 half x shuffle
9BE44E0E.BBS,84. Metal 84 half x shuffle
358CDF9F.BBS,85. Metal 85 half x shuffle
1C446B6D.BBS,86. Metal 86 half x shuffle
B22CFAFC.BBS,87. Metal 87 half x shuffle
3CC69DC6.BBS,88. Metal 88 half x shuffle
F60B9FBE.BBS,89. Metal 89 6/8
30472E6A.BBS,90. Metal 90 6/8
0D2707DA.BBS,91. Metal 91 6/8
4A877D0A.BBS,92. Metal 92 6/8
77E754BA.BBS,93. Metal 93 6/8
C5C788AA.BBS,94. Metal 94 6/8
F8A7A11A.BBS,95. Metal 95 6/8
BF07DBCA.BBS,96. Metal 96 6/8
8267F27A.BBS,97. Metal 97 6/8
003765AB.BBS,98. Metal 98 6/8
3D574C1B.BBS,99. Metal 99 6/8
