735E3A13.BBS,1. All I Need Is a Miracle by Mike and the Mechanics
6998BDE4.BBS,2. Uptown Girl- Billy Joel Copy
A35BDD2B.BBS,3. Lean on Me by Bill Withers
B74785AD.BBS,4. Tiny Dancer- Elton John Copy
1F83C413.BBS,5. This Old Heart of Mine by The Isley Brothers
C8672E7D.BBS,6. Changes by David Bowie
F159D52C.BBS,7. Head Over Heels by Tears for Fears
2E2815C7.BBS,8. Speed Of Sound- Coldplay Copy
4C383BD1.BBS,9. Isn't She Lovely - Stevie Wonder
D5639F77.BBS,10. Golden - Harry Styles
6EA09FA4.BBS,11. Steppin' Out by Joe Jackson
91CE71A0.BBS,12. Peg by Steely Dan
C8CFDF41.BBS,13. Let It Be- The Beatles Copy
41DA5718.BBS,14. Here Comes the Sun by The Beatles
