E651A541.BBS,1. Reggae OneDrop Kick 1 Qtrs
96C695BD.BBS,2. Reggae OneDrop Kick 2 8ths
12842C98.BBS,3. Reggae OneDrop Kick 3 xxxx
32834C45.BBS,4. Reggae OneDrop Kick 4 x_xx
61D77AEE.BBS,5. Reggae OneDrop Kick 5 xxx_
7FAC2AAC.BBS,6. Reggae OneDrop Kick 6 _xxx
89F2A96C.BBS,7. Reggae OneDrop Kick 7 __xx
E0ACFEB7.BBS,8. Reggae OneDrop Kick 8 _xx_
B5462530.BBS,9. Reggae OneDrop Kick Sync 1 Qtrs
C5D115CC.BBS,10. Reggae OneDrop Kick Sync 2 8ths
4193ACE9.BBS,11. Reggae OneDrop Kick Sync 3 xxxx
6194CC34.BBS,12. Reggae OneDrop Kick Sync 4 x_xx
32C0FA9F.BBS,13. Reggae OneDrop Kick Sync 5 xxx_
2CBBAADD.BBS,14. Reggae OneDrop Kick Sync 6 _xxx
DAE5291D.BBS,15. Reggae OneDrop Kick Sync 7 __xx
793ACD45.BBS,16. Reggae OneDrop Kick Sync 8_xx_
0E450FF9.BBS,17. Reggae OneDrop Kick + Rim 1 Qtrs
7ED23F05.BBS,18. Reggae OneDrop Kick + Rim 2 8ths
FA908620.BBS,19. Reggae OneDrop Kick + Rim 3 xxxx
DA97E6FD.BBS,20. Reggae OneDrop Kick + Rim 4 x_xx
89C3D056.BBS,21. Reggae OneDrop Kick + Rim 5 xxx_
97B88014.BBS,22. Reggae OneDrop Kick + Rim 6 _xxx
61E603D4.BBS,23. Reggae OneDrop Kick + Rim 7 __xx
08B8540F.BBS,24. Reggae OneDrop Kick + Rim 8 _xx_
3AAFEDCC.BBS,25. Reggae OneDrop Kick + Rim Sync 1 Qtrs
4A38DD30.BBS,26. Reggae OneDrop Kick + Rim Sync 2 8ths
CE7A6415.BBS,27. Reggae OneDrop Kick + Rim Sync 3 xxxx
EE7D04C8.BBS,28. Reggae OneDrop Kick + Rim Sync 4 x_xx
BD293263.BBS,29. Reggae OneDrop Kick + Rim Sync 5 xxx_
A3526221.BBS,30. Reggae OneDrop Kick + Rim Sync 6 _xxx
550CE1E1.BBS,31. Reggae OneDrop Kick + Rim Sync 7 __xx
3C52B63A.BBS,32. Reggae OneDrop Kick + Rim Sync 8 _xx_
EAA46B1E.BBS,33. Reggae Steppers  1 Qtrs
5783DCC3.BBS,34. Reggae Steppers 2 8ths
D3C165E6.BBS,35. Reggae Steppers 3 xxxx
F3C6053B.BBS,36. Reggae Steppers 4 x_xx
A0923390.BBS,37. Reggae Steppers 5 xxx_
BEE963D2.BBS,38. Reggae Steppers 6 _xxx
48B7E012.BBS,39. Reggae Steppers 7 __xx
21E9B7C9.BBS,40. Reggae Steppers 8 _xx_
B108C50D.BBS,41. Reggae Steppers Sync 1 Qtrs
C19FF5F1.BBS,42. Reggae Steppers Sync 2 8ths
45DD4CD4.BBS,43. Reggae Steppers Sync 3 xxxx
65DA2C09.BBS,44. Reggae Steppers Sync 4 x_xx
368E1AA2.BBS,45. Reggae Steppers Sync 5 xxx_
28F54AE0.BBS,46. Reggae Steppers Sync 6 _xxx
46A32C2E.BBS,47. Reggae Steppers Sync 7 _xx_
B7F59EFB.BBS,48. Reggae Steppers Sync 8 _xx_
8CE16611.BBS,49. Reggae Backbeat 1 Qtrs
FC7656ED.BBS,50. Reggae Backbeat 2 8ths
7834EFC8.BBS,51. Reggae Backbeat 3 xxxx
58338F15.BBS,52. Reggae Backbeat 4 x_xx
0B67B9BE.BBS,53. Reggae Backbeat 5 xxx_
151CE9FC.BBS,54. Reggae Backbeat 6 _xxx
E3426A3C.BBS,55. Reggae Backbeat 7 __xx
8A1C3DE7.BBS,56. Reggae Backbeat 8 _xx_
B3E1D62E.BBS,57. Reggae Backbeat Sync 1 Qtrs
C376E6D2.BBS,58. Reggae Backbeat Sync 2 8ths
47345FF7.BBS,59. Reggae Backbeat Sync 3 xxxx
67333F2A.BBS,60. Reggae Backbeat Sync 4 x_xx
34670981.BBS,61. Reggae Backbeat Sync 5 xxx_
2A1C59C3.BBS,62. Reggae Backbeat Sync 6 _xxx
DC42DA03.BBS,63. Reggae Backbeat Sync 7 __xx
B51C8DD8.BBS,64. Reggae Backbeat Sync 8 _xx_
7E52ABEE.BBS,65. Reggae Backbeat Var 1 Qtrs
0EC59B12.BBS,66. Reggae Backbeat Var 2 8ths
8A872237.BBS,67. Reggae Backbeat Var 3 xxxx
F929FFD9.BBS,68. Reggae Backbeat Vari 4 x_xx
F9D47441.BBS,69. Reggae Backbeat Var 5 xxx_
E7AF2403.BBS,70. Reggae Backbeat Var 6 _xxx
11F1A7C3.BBS,71. Reggae Backbeat Var 7 __xx
78AFF018.BBS,72. Reggae Backbeat Var 8 _xx_
1C30E40F.BBS,73. Reggae Backbeat Var Sync 1 Qtrs
