F01B7BCA.BBS,1. Adore Him- Kari Jobe
8CDAFE0C.BBS,2. Born Is The King- Hillsong Live
08335364.BBS,3. He Has Come For Us- Meredith Andrews
C3B265A6.BBS,4. Hope To The World- Dan Macaulay
9D351373.BBS,5. Hope Was Born This Night- Sidewalk Prophets
5D8EE97B.BBS,6. How Many Kings- Downhere
8F1E4F58.BBS,7. I Heard The Bells On Christmas Day- Casting Crowns
ACE3EA6B.BBS,8. O Come_ O Come Emanuel- David Crowder Band
E65EC86E.BBS,9. Silent Night- Casting Crowns
E51390F7.BBS,10. The First Noel- David Crowder Band
