4E2548DE.BBS,1. A Kind Of Magic- Queen
BE33CEAA.BBS,2. Another One Bites The Dust- Queen
AEAC57F1.BBS,3. Bohemian Rhapsody- Queen
6492D22F.BBS,4. Crazy Little Thing Called Love- Queen
3D6C2DC8.BBS,5. Don't Stop Me Now- Queen
E6BA921D.BBS,6. I Want It All- Queen
C5780D45.BBS,7. I Want To Break Free- Queen
EBE03748.BBS,8. One Vision- Queen
F24B1B3C.BBS,9. Radio Gaga- Queen
31A88FDD.BBS,10. Somebody To Love- Queen
635009B2.BBS,11. The Show Must Go On- Queen
9B1A1A91.BBS,12. Under Pressure- Queen
A8C3737B.BBS,13. We Are Champions- Queen
ABE4CD44.BBS,14. We Will Rock You- Queen
0B8C7CF4.BBS,15. You're My Best Friend- Queen
