30CEBB13.BBS,1. A Hard Day's Night- The Beatles
D9832567.BBS,2. All You Need Is Love- The Beatles
C22130C3.BBS,3. And I Love Her- The Beatles
E3B181D6.BBS,4. Can't Buy Me Love- The Beatles
ECCE6116.BBS,5. Come Together- Beatles
B718E476.BBS,6. Eight Days a Week- The Beatles
C8C6EAFC.BBS,7. Get Back- The Beatles
8E5A7647.BBS,8. Help- The Beatles
376492F0.BBS,9. Hey Jude- The Beatles
BBCCAE82.BBS,10. I Feel Fine- The Beatles
35499406.BBS,11. I Saw Her Standing There- The Beatles
AD665BD4.BBS,12. I Want To Hold Your Hand- The Beatles
B4757DF9.BBS,13. Let It Be- The Beatles
04FDA766.BBS,14. Love Me Do- The Beatles
980C9A11.BBS,15. PS I Love You- The Beatles
120030A6.BBS,16. Please Please Me- The Beatles
0ACA3EF8.BBS,17. She Loves You- The Beatles
E04E935C.BBS,18. Strawberry Fields Forever- The Beatles
A0B4A1D2.BBS,19. The Long and Winding Road- The Beatles
A89B5C6A.BBS,20. Ticket To Ride- The Beatles
5BEFD1F5.BBS,21. Twist and Shout- The Beatles
7C4727B7.BBS,22. We Can Work It Out- The Beatles
71AE5925.BBS,23. Yellow Submarine- The Beatles
C95689C2.BBS,24. Yesterday- The Beatles
