021D94A6.BBS,1. Babylon Sisters- Steely Dan
D529A312.BBS,2. Deacon Blues- Steely Dan
78404C7E.BBS,3. Do It Again- Steely Dan
4B2096C4.BBS,4. Hey Nineteen- Steely Dan
BED3DD73.BBS,5. Home At Last- Steely Dan
030AEE96.BBS,6. Josie- Steely Dan
882F9AC9.BBS,7. Kid Charlemagne- Steely Dan
16E63C5D.BBS,8. Peg- Steely Dan
ED0DE185.BBS,9. Reelin In The Years- Steely Dan
FD13AD17.BBS,10. Rikki Don't Lose That Number- Steely Dan
7781EB17.BBS,11. Peg- Steely Dan Copy
1B0B74A0.BBS,12. Kid Charlemagne- Steely Dan Copy
