BC379E48.BBS,1. Angie
BFD93E92.BBS,2. Everybody needs somebody to love
1B65EFA5.BBS,3. Honky Tonk Woman- The Rolling Stones
22C21ECD.BBS,4. It's All Over Now
23A87E27.BBS,5. Jumpin Jack Flash
FB05ACC9.BBS,6. Miss You
BE9D8D15.BBS,7. Mixed Emotions
48E0B79E.BBS,8. Paint It Black
EA4869C3.BBS,9. Ruby Tuesday
92BFD7EB.BBS,10. Satisfaction
CC80D82B.BBS,11. Start Me Up
34486A79.BBS,12. Sympathy For The Devil
E1E98470.BBS,13. Time Is On My Side
88D5DA7B.BBS,14. Wild Horses
C45AFE2E.BBS,15. You Can't Always Get What You Want
