60328E4D.BBS,1. World 1-Balkatik
6FCD69FE.BBS,2. World 2-Pasokrava
CC3E2CB6.BBS,3. World 3-Chupoovca
C8E53F2F.BBS,4. World 4-Kozochuvar
55327935.BBS,5. World 5-Nogoshutach
CA1A94E1.BBS,6. World 6-Krezoseljak
4D18D93B.BBS,7. World 7-Brkica
F1E56F56.BBS,8. World 8-Vukoplash
508FD71A.BBS,9. World 9-Bumbarmali
6410C1AB.BBS,10. World 10-Bumbarveliki
205B41C6.BBS,11. World 11-Muzomlek
1ACDD55F.BBS,12. World 12-Brdotrch
555ADEE6.BBS,13. World 13-Zavla Chko
927565AC.BBS,14. World 14-Svak Odar
D97AEF33.BBS,15. World 15-Kucho Prez
809242C7.BBS,16. World 16-Sem A Fore
79FB3C4B.BBS,17. World 17-Pogle Davac
39558B24.BBS,18. World 18 6/8-Klizopad
39FC2787.BBS,19. World 19 6/8-Sun Cesneg
927D7884.BBS,20. World 20 6/8-Pravizez
019DD760.BBS,21. World 21 6/8-Lop Toshut
A5D9A927.BBS,22. World 22 6/8-Serkan
8630938F.BBS,23. World 23 6/8-Skokopad
0D767CB5.BBS,24. World 24 6/8-Podispod
53CA0C2A.BBS,25. World 25 6/8-Sramotko
F4B93883.BBS,26. World 26 Swung-Kuk Uruz
88813904.BBS,27. World 27 Swung-Shumoshet
5C260BE6.BBS,28. World 28 Swung-Samosed
FA5975FA.BBS,29. World 29 Swung-Alideda
4096FD2D.BBS,30. World 30 Swung-Ashtotako
362E89F5.BBS,31. World 31 Swung-Krivogled
9561223C.BBS,32. World 32 Swung-Ludaglup
9C09E199.BBS,33. World 33 Swung-Pit Ka
042FCF6F.BBS,34. World 34 Swung-Puto Prech
DE6247B2.BBS,35. World 35 Swung-Veliskok
C4CB45C0.BBS,36. World 36 Swung-Lupetanac
4B3F63E1.BBS,37. World 37 Swung-Udarale
320D3DB5.BBS,38. World 38 Swung-Plesosmesh
FA609D14.BBS,39. World 39 Swung-Ov Cable Ji
47FF8212.BBS,40. World 40 Swung-Povuch Pogur
CB5FED3F.BBS,41. World 41 Swung-Kokiceras
7559D8D8.BBS,42. World 42 6/8 Swung-Spazilo
09D45081.BBS,43. World 43 6/8 Swung-Niskopuz
086DA6F7.BBS,44. World 44 6/8 Swung-Tica Leti
CE828A41.BBS,45. World 45 6/8 Swung-Putozbun
5C34C327.BBS,46. World 46 6/8 Swung-Pogre Shivach
2660E2DF.BBS,47. World 47 6/8 Swung-Babamraz
9CF34647.BBS,48. World 48 6/8 Swung-Zagutin
55DD624B.BBS,49. World 49 6/8 Swung-Zelanovac
F21B94BD.BBS,50. World 50- Pa Di Na
BA83126E.BBS,51. World 51- Virshli Chitza
CD8422F8.BBS,52. World 52- Kazana
53E0B75B.BBS,53. World 53- Psoto
24E787CD.BBS,54. World 54- Psoto
93F66629.BBS,55. World 55- Sankobreg
753B4A64.BBS,56. World 56- Smogidan
344A999D.BBS,57. World 57- Snazilo
25043139.BBS,58. World 58- Alatko
23A481E0.BBS,59. World 59- Krayniko
