7026B845,1. GigSalad - guitar
292AD1F5,2. Gig Salad - piano
AC3F900F,3. GigSalad / The Bash Promo
3A1B39FA,4. Ethan's Songs
E653051E,5. Bedford Davis Style
203A18C4,6. Ballad-mini
165DA150,7. Blues
0B587BA5,8. Brazilian
C8C2CEBB,9. Brushes Beats
9CCEF0FA,10. Country
64EF7675,11. Drum & Bass
EC1F8CBF,12. Funk
2068D2AA,13. Hand Percussion BB Mini
507A2F2F,14. Hip Hop
F9F8CF0C,15. Jazz
95768E0E,16. Latin
F33F73C2,17. Marching
01A3DBCD,18. Metal
5620EDF1,19. Odd Time
31CAACC9,20. Oldies
219DF1F6,21. Pop
996D84FC,22. Punk
CB758054,23. R&B
977B149C,24. Rock
0B012D4C,25. Reggae
3E2BEBEA,26. Techno
A559FB52,27. Voice-Beatbox
FBB63E47,28. World
61896A5F,29. Metronome
37436FCE,30. David's Beats
9D54DCA9,31. Test Beats
8E3E578A,32. Find more at library.myBeatBuddy.com
9CF1A591,33. 3-3-2 Rhythms
43022FDC,34. 3-3-2 Rhythms Swung
62C1EAC1,35. AC/DC Style
C6CECC28,36. Ballad Beats
37F8205A,37. Beats In 3/4-straight
89F23EEF,38. Beats In 3/4-swung
56432DA1,39. Beat Elements
4417EEA9,40. Billy Joel Style
1AFC5302,41. Black Sabbath Style
0B78D5C1,42. Brazilian Percussion Rhythms
17D92C2F,43. Cajon Essentials
0F3D50C2,44. Chicago Style
939A09C8,45. Chill Beats p1 (straight)
0A935872,46. Chill Beats p2 (swung)
60CDB155,47. Christmas Songs In Chris Tomlin Style
59FCFF86,48. Christmas Songs In Various Artists' Styles
D3873961,49. Coldplay Style
18D21483,50. Country Drums
A40BB4F8,51. Creedence Clearwater Revival Style
5DB15B02,52. Cymbal Beats
3948E2AA,53. Dire Straits Style
5D0C3C0B,54. Drums With Percussion
3799ADDE,55. Elton John Style
1A1EB82F,56. Eric Clapton Style
5DA49F75,57. Flamenco vol.1
C4ADCECF,58. Flamenco vol.2
BA105DC4,59. Fleetwood Mac Style
2B3B5461,60. Funk Drums p1
B23205DB,61. Funk Drums p2
C535354D,62. Funk Drums p3
906B491A,63. Gig Basics Beats
0FBD3E92,64. Groovy Metronome-click+shaker
02896150,65. Groovy Metronome-kick+hats
FA12D6A5,66. Guns N Roses Style
7B04B881,67. Jazz Brushes Beats
B076996C,68. Jazz Drums p1
297FC8D6,69. Jazz Drums p2
A7B8727B,70. Jimi Hendrix Style
E8BBE859,71. John Mayer Style
049ACB56,72. Latin Caribbean Drumset Rhythms
895AE84B,73. Led Zeppelin Style
D674D24B,74. Mallet Beats
20E361EB,75. Metal Drums p1
B9EA3051,76. Metal Drums p2
94013D14,77. Metallica Style
B4C126DA,78. Michael Jackson Style
DDC7513F,79. Neil Young Style
E33B75D7,80. Nirvana Style
A9636AFB,81. Pearl Jam Style
B0C878D0,82. Pink Floyd Style
E6690E30,83. Popular Covers 1
55FD23F3,84. Popular Covers 2
3B7138B2,85. Popular Covers 3
E9A47E34,86. Popular Covers 4
87286575,87. Popular Covers 5
34BC48B6,88. Popular Covers 6
5A3053F7,89. Popular Covers 7
4A67C3FB,90. Popular Covers 8
24EBD8BA,91. Popular Covers 9
AF5972DA,92. Popular Covers 10
C1D5699B,93. Popular Covers 11
4931E9EB,94. Prince Style
632C9BBE,95. Queen Style
38A5688A,96. Red Hot Chili Peppers Style
53A7B5C3,97. Reggae Drums- Straight Feel
EF24C9AA,98. Reggae Drums- Swung Feel
E1B5C408,99. Retro Disco Beats
83110C7D,100. Rock Drums
0678B8BC,101. Santana Style
67016169,102. Songwriter Brushes p1
FE0830D3,103. Songwriter Brushes p2
2750B098,104. Soundgarden Style
D7DADB7D,105. Steely Dan Style
7F107BDD,106. Stevie Ray Vaughan Style
D9957C42,107. Stevie Wonder Style
326237B0,108. Sting Style
79790F17,109. Swung & Shuffle Beats
8715DC0F,110. The Beatles Style
4D23779D,111. The Doors Style
2E057D03,112. The Eagles Style
B16A0777,113. The Police Style
E4C7007E,114. The Rolling Stones Style
2828E3CC,115. Tom Petty Style
4EC2EA6E,116. U2 Style
FBD60999,117. World Percussion
8FF17E3A,118. World Percussion Fusion
1793725E,119. ZZ Top Style
67D45EE6,120. Drumset Version Check
